NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	50	0.60359824	2.947951	0.0	0.0	0.0	1737	tags=96%, list=37%, signal=152%	
GOCC_CYTOSOLIC_RIBOSOME	GOCC_CYTOSOLIC_RIBOSOME	Details ...	99	0.5162983	2.8239946	0.0	0.0	0.0	1459	tags=77%, list=31%, signal=110%	
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	99	0.48746216	2.7247636	0.0	3.0955308E-4	0.001	1825	tags=82%, list=39%, signal=132%	
GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	Details ...	161	0.43851417	2.5945153	0.0	9.259241E-4	0.004	1579	tags=70%, list=34%, signal=102%	
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	36	0.570655	2.5725493	0.0	9.2616695E-4	0.005	1086	tags=75%, list=23%, signal=97%	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	140	0.43859512	2.5052736	0.0	0.002002524	0.013	1838	tags=76%, list=40%, signal=123%	
GOCC_RIBOSOME	GOCC_RIBOSOME	Details ...	192	0.38636	2.327108	0.0	0.019951921	0.147	1838	tags=69%, list=40%, signal=109%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	132	0.40538922	2.308198	0.0	0.021271702	0.174	1807	tags=71%, list=39%, signal=113%	
GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN	GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN	Details ...	16	0.64281666	2.2875452	0.0	0.024662416	0.216	1074	tags=81%, list=23%, signal=105%	
GOMF_STRUCTURAL_MOLECULE_ACTIVITY	GOMF_STRUCTURAL_MOLECULE_ACTIVITY	Details ...	296	0.36505377	2.2819939	0.0	0.023398848	0.228	1480	tags=57%, list=32%, signal=78%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	Details ...	17	0.62990826	2.2650805	0.0	0.02640125	0.273	1325	tags=82%, list=29%, signal=115%	
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION	GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION	Details ...	18	0.5842564	2.181776	0.0011337869	0.06004058	0.536	1460	tags=83%, list=31%, signal=121%	
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	Details ...	95	0.38822037	2.1800025	0.0	0.056486007	0.546	1943	tags=72%, list=42%, signal=121%	
GOMF_LIGASE_ACTIVITY	GOMF_LIGASE_ACTIVITY	Details ...	98	0.39519593	2.1729188	0.0	0.055753447	0.574	2142	tags=77%, list=46%, signal=139%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS	Details ...	25	0.5198655	2.1711307	0.0010917031	0.053087585	0.582	1568	tags=80%, list=34%, signal=120%	
GOMF_MRNA_5_UTR_BINDING	GOMF_MRNA_5_UTR_BINDING	Details ...	22	0.54388326	2.1545277	0.0	0.05821013	0.645	1706	tags=86%, list=37%, signal=136%	
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS	GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS	Details ...	42	0.46360478	2.1443298	0.0	0.060227837	0.679	1688	tags=71%, list=36%, signal=111%	
GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	Details ...	25	0.50838345	2.1195693	0.002181025	0.072912246	0.765	1899	tags=88%, list=41%, signal=148%	
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	Details ...	138	0.3675785	2.111634	0.0	0.07438565	0.783	1943	tags=69%, list=42%, signal=115%	
GOMF_CHROMATIN_DNA_BINDING	GOMF_CHROMATIN_DNA_BINDING	Details ...	54	0.42461717	2.1009405	0.00203666	0.07732915	0.812	1413	tags=59%, list=30%, signal=84%	
GOCC_MITOCHONDRIAL_MATRIX	GOCC_MITOCHONDRIAL_MATRIX		303	0.33188805	2.077109	0.0	0.0925872	0.874	2394	tags=75%, list=52%, signal=145%	
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE	GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE		37	0.4504895	2.0643268	0.0010471204	0.09922583	0.907	1325	tags=62%, list=29%, signal=86%	
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT		48	0.41726977	2.037873	0.0	0.118196234	0.942	2315	tags=85%, list=50%, signal=169%	
GOBP_TRICARBOXYLIC_ACID_CYCLE	GOBP_TRICARBOXYLIC_ACID_CYCLE		24	0.5027083	2.0350034	0.0066225166	0.116125636	0.945	1664	tags=79%, list=36%, signal=123%	
GOBP_NUCLEOBASE_BIOSYNTHETIC_PROCESS	GOBP_NUCLEOBASE_BIOSYNTHETIC_PROCESS		18	0.5332924	2.0312488	0.0059031877	0.11584991	0.95	1965	tags=94%, list=42%, signal=163%	
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS		43	0.43023098	2.027277	0.0	0.11523515	0.952	2161	tags=81%, list=47%, signal=151%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR		22	0.50143385	2.0177927	0.0022396417	0.12065934	0.96	1905	tags=86%, list=41%, signal=146%	
GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR		15	0.5638501	1.9978589	0.003537736	0.13838598	0.98	1359	tags=73%, list=29%, signal=103%	
GOMF_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS	GOMF_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS		16	0.54400307	1.9827741	0.0036452005	0.15287434	0.986	1783	tags=88%, list=38%, signal=142%	
GOCC_SPLICEOSOMAL_TRI_SNRNP_COMPLEX	GOCC_SPLICEOSOMAL_TRI_SNRNP_COMPLEX		28	0.47071785	1.9810224	0.0032258064	0.14990519	0.987	1523	tags=68%, list=33%, signal=100%	
